Description,Category,Amount,Currency
Dk-Ind29.03,Sale of Goods,1210.9,DKK
B20230618X002HJX000666628738 0030014291298480 Instapark NL52ABNA0554667061,Nonbusiness costs,-6.59,EUR
Dk3dsf17.08,Sale of Goods,826.2,DKK
Dk-Ind01.06,Sale of Goods,481.95,DKK
Dk-Ind09.08,Sale of Goods,796.05,DKK
Dk-Ind06.06,Sale of Goods,262.45,DKK
Dk-Ind13.07,Sale of Goods,267.9,DKK
"FACEBK EL7PJRPZK2, fb.me/ads,",Marketing and advertising,-3000.0,DKK
02004478940012107234,Sale of Goods,649.25,DKK
20773193MI 1030000751032398 ROLLZONE*,Inventory / Equipment,-189.91,EUR
Notanr,Debit-/Credit payments,-25.0,DKK
"Upwork -519276884REF, +1",Software and subscription services,0.0,DKK
Dk-Ind17.05,Sale of Goods,194.4,DKK
Pharma nord,Inventory / Equipment,-10953.01,DKK
Dk-Ind27.03,Sale of Goods,136.45,DKK
"FACEBK 8X27FRXTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
10852425 Txid 746739887 Multisafepay Payout merchant:10852425 10-07-2023,Sale of Goods,1953.97,EUR
Advis 122302281203115 / OVERFØRSEL,Transfer,0.0,DKK
Dk-Ind03.04,Sale of Goods,449.25,DKK
Dk-Ind22.08,Sale of Goods,350.5,DKK
"Snap, 310-399-3339",Marketing and advertising,-2.66,DKK
"ADS3297518833, ccØgoogle.co",Marketing and advertising,-4947.92,DKK
20965193MI 1030000753769803 ROLLZONE*,Inventory / Equipment,-189.91,EUR
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf01.05,Sale of Goods,1879.8,DKK
Dk3dsf15.03,Sale of Goods,1654.2,DKK
Dk-Ind31.03,Sale of Goods,378.3,DKK
02004478940011608239,Sale of Goods,637.8,DKK
Advis 122212080137030,Sale of Goods,0.0,DKK
"FACEBK 88TJKQ3TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk-Ind26.06,Sale of Goods,133.75,DKK
SKATTEKONTOEN,VAT and income tax,0.0,DKK
Dk-Ind04.05,Sale of Goods,814.56,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Postering,Shipping & Logistics,-1130.0,DKK
Pinterest Ads,Marketing and advertising,0.0,DKK
Dk-Ind31.03,Sale of Goods,249.7,DKK
Dk-Ind04.05,Sale of Goods,680.4,DKK
Dk-Ind30.03,Sale of Goods,253.5,DKK
Dk-Ind03.05,Sale of Goods,466.5,DKK
Dk-Ind25.07,Sale of Goods,803.25,DKK
"Klaviyo Inc. Software, Klaviyo.Com",Software and subscription services,-221.24,DKK
Dk-Ind12.06,Sale of Goods,188.18,DKK
MobilePay A.Vogel Danmark A/S,Sale of Goods,-4037.41,DKK
MXNEY Growth Capital,Loans/ Debts,0.0,DKK
Dk-Ind13.04,Sale of Goods,796.05,DKK
Dk-Ind08.05,Sale of Goods,470.9,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,0.0,DKK
Fak,Intragroup exchange,36000.0,DKK
Dk3dsf19.04,Sale of Goods,402.8,DKK
Dk3dsf24.04,Sale of Goods,595.4,DKK
Dk3dsf18.08,Sale of Goods,195.95,DKK
Dk-Ind09.07,Sale of Goods,150.9,DKK
Dk-Ind18.06,Sale of Goods,234.45,DKK
Dk-Ind10.08,Sale of Goods,423.96,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
Dk-Ind28.04,Sale of Goods,263.5,DKK
ALLERGICA,Inventory / Equipment,-4922.56,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind23.06,Sale of Goods,355.4,DKK
Dk3dsf13.04,Sale of Goods,361.8,DKK
Dk-Ind22.03,Sale of Goods,298.4,DKK
Dk-Ind03.07,Sale of Goods,488.4,DKK
"Snap, 310-399-3339",Marketing and advertising,-22.46,DKK
02004478940011007238,Sale of Goods,49.2,DKK
